Test: chnl11_20.cnf
Options: -print-activity -no-inverting-opt -sym-var-bump
WARNING: for repeatability, setting FPU to use double precision
============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of symmetries:           59                                         |
|  Number of invertingSyms:         0                                         |
|  Number of variables:           440                                         |
|  Number of clauses:            4220                                         |
|  Parse time:                   0.00 s                                       |
|                                                                             |
============================[ Search Statistics ]==============================
| Conflicts |          ORIGINAL         |          LEARNT          | Progress |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          |
===============================================================================
ActiveSyms: 59
ActiveSyms: 54
ActiveSyms: 51
ActiveSyms: 48
ActiveSyms: 44
ActiveSyms: 40
ActiveSyms: 40
ActiveSyms: 41
ActiveSyms: 41
ActiveSyms: 41
ActiveSyms: 41
ActiveSyms: 41
ActiveSyms: 41
ActiveSyms: 41
ActiveSyms: 41
ActiveSyms: 38
ActiveSyms: 38
ActiveSyms: 36
ActiveSyms: 35
ActiveSyms: 33
ActiveSyms: 31
ActiveSyms: 30
ActiveSyms: 30
ActiveSyms: 27
ActiveSyms: 27
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 25
ActiveSyms: 25
ActiveSyms: 25
ActiveSyms: 25
ActiveSyms: 25
ActiveSyms: 25
ActiveSyms: 25
ActiveSyms: 25
ActiveSyms: 26
ActiveSyms: 24
ActiveSyms: 25
ActiveSyms: 24
ActiveSyms: 24
ActiveSyms: 24
ActiveSyms: 24
ActiveSyms: 24
ActiveSyms: 25
ActiveSyms: 24
ActiveSyms: 24
ActiveSyms: 24
ActiveSyms: 24
ActiveSyms: 23
ActiveSyms: 23
ActiveSyms: 22
ActiveSyms: 22
ActiveSyms: 22
ActiveSyms: 22
ActiveSyms: 22
ActiveSyms: 22
ActiveSyms: 22
ActiveSyms: 22
ActiveSyms: 23
ActiveSyms: 22
ActiveSyms: 21
ActiveSyms: 21
ActiveSyms: 21
ActiveSyms: 21
ActiveSyms: 21
ActiveSyms: 20
ActiveSyms: 20
ActiveSyms: 20
ActiveSyms: 20
ActiveSyms: 20
ActiveSyms: 20
ActiveSyms: 19
ActiveSyms: 19
ActiveSyms: 17
ActiveSyms: 17
ActiveSyms: 17
ActiveSyms: 18
ActiveSyms: 19
ActiveSyms: 19
ActiveSyms: 19
ActiveSyms: 19
ActiveSyms: 19
ActiveSyms: 18
ActiveSyms: 18
ActiveSyms: 18
ActiveSyms: 18
ActiveSyms: 18
ActiveSyms: 18
ActiveSyms: 18
ActiveSyms: 18
ActiveSyms: 18
ActiveSyms: 18
ActiveSyms: 17
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 17
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
