Test: chnl10_12.cnf
Options: -print-activity -no-inverting-opt -sym-var-bump
WARNING: for repeatability, setting FPU to use double precision
============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of symmetries:           41                                         |
|  Number of invertingSyms:         0                                         |
|  Number of variables:           240                                         |
|  Number of clauses:            1344                                         |
|  Parse time:                   0.00 s                                       |
|                                                                             |
============================[ Search Statistics ]==============================
| Conflicts |          ORIGINAL         |          LEARNT          | Progress |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          |
===============================================================================
ActiveSyms: 41
ActiveSyms: 36
ActiveSyms: 32
ActiveSyms: 28
ActiveSyms: 29
ActiveSyms: 30
ActiveSyms: 30
ActiveSyms: 26
ActiveSyms: 26
ActiveSyms: 25
ActiveSyms: 25
ActiveSyms: 25
ActiveSyms: 26
ActiveSyms: 22
ActiveSyms: 21
ActiveSyms: 19
ActiveSyms: 18
ActiveSyms: 19
ActiveSyms: 19
ActiveSyms: 17
ActiveSyms: 17
ActiveSyms: 17
ActiveSyms: 17
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 15
ActiveSyms: 15
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 16
ActiveSyms: 17
ActiveSyms: 16
ActiveSyms: 15
ActiveSyms: 15
ActiveSyms: 15
ActiveSyms: 14
ActiveSyms: 14
ActiveSyms: 14
ActiveSyms: 14
ActiveSyms: 13
ActiveSyms: 11
ActiveSyms: 11
ActiveSyms: 10
ActiveSyms: 10
ActiveSyms: 10
ActiveSyms: 9
ActiveSyms: 11
ActiveSyms: 10
ActiveSyms: 9
ActiveSyms: 10
ActiveSyms: 11
ActiveSyms: 11
ActiveSyms: 10
ActiveSyms: 10
ActiveSyms: 10
ActiveSyms: 9
ActiveSyms: 10
ActiveSyms: 11
ActiveSyms: 10
ActiveSyms: 10
ActiveSyms: 9
ActiveSyms: 9
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 9
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 9
ActiveSyms: 10
ActiveSyms: 9
ActiveSyms: 9
ActiveSyms: 9
ActiveSyms: 9
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 8
ActiveSyms: 9
ActiveSyms: 9
ActiveSyms: 9
ActiveSyms: 9
ActiveSyms: 10
ActiveSyms: 11
ActiveSyms: 11
ActiveSyms: 11
ActiveSyms: 9
ActiveSyms: 9
ActiveSyms: 9
ActiveSyms: 10
ActiveSyms: 8
ActiveSyms: 7
ActiveSyms: 8
ActiveSyms: 9
ActiveSyms: 10
ActiveSyms: 9
ActiveSyms: 9
ActiveSyms: 8
ActiveSyms: 7
ActiveSyms: 7
ActiveSyms: 9
ActiveSyms: 11
ActiveSyms: 12
ActiveSyms: 13
ActiveSyms: 14
ActiveSyms: 13
ActiveSyms: 11
ActiveSyms: 12
ActiveSyms: 12
ActiveSyms: 11
ActiveSyms: 12
ActiveSyms: 11
ActiveSyms: 10
ActiveSyms: 10
